system:index,Date_str,WaterPlane,bmaxGeeGrd,bmaxSnapRtc,edgeGeeGrd,edgeSnapRtc,latitude_209564535,lc,longitude_209564535,.geo
0_1_1_00000000000000000094_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.00527713780072,12.338135848560597]}"
0_1_1_00000000000000000095_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.75842009772468,12.205095354982497]}"
0_1_1_00000000000000000096_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.90763026641693,12.544209374737616]}"
0_1_1_00000000000000000097_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.80926474280585,12.113107869888658]}"
0_1_1_00000000000000000098_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.87978249260922,12.459049085803086]}"
0_1_1_00000000000000000099_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.89792846134844,12.231865150449257]}"
0_1_1_0000000000000000009a_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.88148929164906,11.888888374972424]}"
0_1_1_0000000000000000009b_0,2018-01-04,0,0,0,0,0,,5,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.94212557332712,12.584274236409346]}"
0_1_1_0000000000000000009c_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.97599205953843,12.197998664237952]}"
0_1_1_0000000000000000009d_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.95910373219698,12.505042828350005]}"
0_1_1_0000000000000000009e_0,2018-01-04,0,0,0,0,0,,10,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[103.00653477919849,12.315049145758726]}"
0_1_1_0000000000000000009f_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.8336989185339,12.416379109807409]}"
0_1_1_000000000000000000a0_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.83378875006231,12.504414007651121]}"
0_1_1_000000000000000000a1_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.80315619887384,12.423565632080365]}"
0_1_1_000000000000000000a2_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.78950180655522,12.025611961215416]}"
0_1_1_000000000000000000a3_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.79327473074852,12.15092694335009]}"
0_1_1_000000000000000000a4_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.98461588626597,12.272199506706224]}"
0_1_1_000000000000000000a5_0,2018-01-04,0,0,0,0,0,,6,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.90897773934311,12.242734765387105]}"
0_1_1_000000000000000000a6_0,2018-01-04,0,0,0,0,0,,7,,"{""geodesic"":false,""type"":""Point"",""coordinates"":[102.91149302213864,12.00872363387397]}"
