system:index,CID,Date,HYDRA,H_S_RLCMST,RLCMS,Slope,WaterPlane,first,system:time_start,.geo
1_1_1_1_1_1_1_1_2_0000000000000000000d,0,1568185200000,0,211.0,11.0,2,0,0.10821075737476349,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.91427943507745,11.422184430787533]}"
1_1_1_1_1_1_1_1_2_00000000000000000017,0,1568185200000,0,211.0,11.0,2,0,0.1079728901386261,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.91004634855466,11.32450286068795]}"
1_1_1_1_1_1_1_1_2_0000000000000000001d,0,1568185200000,0,211.0,11.0,2,0,0.1400703489780426,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.01301902214188,11.220711877687474]}"
1_1_1_1_1_1_1_1_2_0000000000000000009f,0,1568185200000,0,211.0,11.0,2,0,0.10576511174440384,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.91839036946763,11.222819916573135]}"
1_1_1_1_1_1_1_1_2_000000000000000000ad,0,1568185200000,0,211.0,11.0,2,0,0.11536849290132523,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.87038781778479,11.438495420504752]}"
1_1_1_1_1_1_1_1_2_000000000000000000bc,0,1568185200000,0,213.0,13.0,2,0,0.11383721232414246,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.4081345067731,11.558847081563016]}"
1_1_1_1_1_1_1_1_2_000000000000000000af,0,1568185200000,0,206.0,6.0,2,0,0.10750505328178406,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.94942404163555,11.438178556787076]}"
1_1_1_1_1_1_1_1_2_00000000000000000122,0,1568185200000,0,206.0,6.0,2,0,0.10418448597192764,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.97194066275661,12.319815038424977]}"
1_1_1_1_1_1_1_1_2_000000000000000000a6,0,1568185200000,0,214.0,14.0,2,0,0.10779229551553726,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.16925589397528,11.28036171529208]}"
1_1_1_1_1_1_1_1_2_000000000000000000a7,0,1568185200000,0,214.0,14.0,2,0,0.1039934903383255,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.1637252315037,11.30425186985481]}"
1_1_1_1_1_1_1_1_2_00000000000000000019,0,1568185200000,0,211.0,11.0,2,1,0.11093413829803467,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.91339774541368,11.267580620154837]}"
1_1_1_1_1_1_1_1_2_0000000000000000000a,0,1568185200000,1,1210.0,10.0,2,1,0.8157983422279358,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.39088736870264,11.681389758985345]}"
1_1_1_1_1_1_1_1_2_000000000000000000b5,0,1568185200000,1,1210.0,10.0,2,1,0.7974756360054016,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.30253932506803,11.63996376134914]}"
1_1_1_1_1_1_1_1_2_000000000000000000ba,0,1568185200000,1,1210.0,10.0,2,1,0.6715981960296631,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.38121806162923,11.661318919581472]}"
1_1_1_1_1_1_1_1_2_000000000000000000b7,0,1568185200000,1,1211.0,11.0,2,1,0.8602303862571716,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.31910866255687,11.585987407992794]}"
1_1_1_1_1_1_1_1_2_00000000000000000119,0,1568185200000,0,306.0,6.0,3,0,0.10519778728485107,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[106.05520038816597,12.06246895520188]}"
1_1_1_1_1_1_1_1_2_0000000000000000011b,0,1568185200000,0,306.0,6.0,3,0,0.11072748899459839,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[106.08634307745666,12.233686736108043]}"
1_1_1_1_1_1_1_1_2_0000000000000000011e,0,1568185200000,0,306.0,6.0,3,0,0.10472805052995682,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[106.0872487230324,12.258740665910727]}"
1_1_1_1_1_1_1_1_2_0000000000000000011f,0,1568185200000,0,306.0,6.0,3,0,0.10479490458965302,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[106.1388007908267,12.099947956342387]}"
1_1_1_1_1_1_1_1_2_00000000000000000120,0,1568185200000,0,306.0,6.0,3,0,0.10704587399959564,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[106.09007428568606,12.145088474236955]}"
1_1_1_1_1_1_1_1_2_00000000000000000123,0,1568185200000,0,306.0,6.0,3,0,0.1047699898481369,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[106.13577384015686,12.389533409587468]}"
1_1_1_1_1_1_1_1_2_00000000000000000124,0,1568185200000,0,306.0,6.0,3,0,0.10496976226568222,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[106.13020824403058,12.299090199330754]}"
1_1_1_1_1_1_1_1_2_00000000000000000339,0,1568185200000,0,306.0,6.0,3,0,0.10817069560289383,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[106.10076661830148,12.146199618277256]}"
1_1_1_1_1_1_1_1_2_00000000000000000011,0,1568185200000,0,309.0,9.0,3,0,0.10760946571826935,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.00448664534596,11.400352553321863]}"
1_1_1_1_1_1_1_1_2_000000000000000000b1,0,1568185200000,0,309.0,9.0,3,0,0.10744452476501465,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.02371057008519,11.343617171989314]}"
1_1_1_1_1_1_1_1_2_000000000000000000ae,0,1568185200000,0,310.0,10.0,3,0,0.11579100042581558,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.90547025988683,11.475710553066612]}"
1_1_1_1_1_1_1_1_2_000000000000000000b8,0,1568185200000,0,310.0,10.0,3,0,0.10660027712583542,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.36110027867753,11.589129762295254]}"
1_1_1_1_1_1_1_1_2_0000000000000000000f,0,1568185200000,0,311.0,11.0,3,0,0.11843310296535492,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.9403742154043,11.387543374624553]}"
1_1_1_1_1_1_1_1_2_00000000000000000013,0,1568185200000,0,311.0,11.0,3,0,0.10943740606307983,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.0145802648045,11.341413564432642]}"
1_1_1_1_1_1_1_1_2_000000000000000000a0,0,1568185200000,0,311.0,11.0,3,0,0.10602954030036926,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.01785156403913,11.275489256397004]}"
1_1_1_1_1_1_1_1_2_000000000000000000a2,0,1568185200000,0,311.0,11.0,3,0,0.10865030437707901,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.0477529452732,11.233493690793042]}"
1_1_1_1_1_1_1_1_2_000000000000000000a4,0,1568185200000,0,311.0,11.0,3,0,0.11140096187591553,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[105.06682730152329,11.263626229653173]}"
1_1_1_1_1_1_1_1_2_000000000000000000b0,0,1568185200000,0,311.0,11.0,3,0,0.10518015176057816,2019-09-11T07:00:00,"{""type"":""Point"",""coordinates"":[104.93363063280029,11.449182852588658]}"
